unitType,make,stockNumber,year,model,color,msrp,unitId,modelName,invoice,holdback,rebate,age,advertisedPrice,structure,hondaCode,vin
MOWER,GRAVELY,G096164,2023,991270,Red,6399,G096164-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096164
MOWER,GRAVELY,G095700,2023,991270,Red,6399,G095700-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,095700
MOWER,GRAVELY,G096113,2023,991270,Red,6399,G096113-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096113
MOWER,GRAVELY,G095857,2023,991270,Red,6399,G095857-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,095857
MOWER,GRAVELY,G096120,2023,991270,Red,6399,G096120-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096120
MOWER,GRAVELY,G096159,2023,991270,Red,6399,G096159-991270,ZT HD 52,5279.36,0,0.00,44,6399,EQUIPMENT,,096159
MOWER,GRAVELY,G003001,2023,991271,Black,6999,G003001-991271,ZT HD STEALTH,5704.22,0,0.00,64,6999,EQUIPMENT,,003001
MOWER,GRAVELY,G003253,2023,991271,Black,6999,G003253-991271,ZT HD STEALTH,5704.22,0,0.00,64,6999,EQUIPMENT,,003253
MOWER,GRAVELY,G002997,2023,991271,Black,6999,G002997-991271,ZT HD STEALTH,5704.22,0,0.00,64,6999,EQUIPMENT,,002997
MOWER,GRAVELY,G003000,2023,991271,Black,6999,G003000-991271,ZT HD STEALTH,5704.22,0,0.00,64,6999,EQUIPMENT,,003000
MOWER,GRAVELY,G002998,2023,991271,Black,6999,G002998-991271,ZT HD STEALTH,5704.22,0,0.00,64,6999,EQUIPMENT,,002998
MOWER,GRAVELY,G000715,2022,991266,RED,5999,G000715-991266,ZT HD-44,4913.63,0,0.00,226,5999,EQUIPMENT,,000715
MOWER,GRAVELY,G000714,2022,991266,RED,5999,G000714-991266,ZT HD-44,4913.63,0,0.00,226,5999,EQUIPMENT,,000714
MOWER,GRAVELY,G001136,2022,991268,RED,6299,G001136-991268,ZT HD-48,5101.24,0,0.00,295,6299,EQUIPMENT,,001136
MOWER,GRAVELY,G001135,2022,991268,RED,6299,G001135-991268,ZT HD-48,5101.24,0,0.00,295,6299,EQUIPMENT,,001135
MOWER,GRAVELY,G091280,2022,991268,RED,6299,G091280-991268,ZT HD-48,5101.24,0,0.00,295,6299,EQUIPMENT,,091280
MOWER,GRAVELY,G090461,2022,991268,RED,6299,G090461-991268,ZT HD-48,4854.5,0,0.00,400,6299,EQUIPMENT,,090461
MOWER,GRAVELY,G090927,2022,991270,Red,6399,G090927-991270,ZT HD-52,4936.99,0,0.00,400,6399,EQUIPMENT,,090927
MOWER,GRAVELY,G005936,2022,991270,RED,6399,G005936-991270,ZT HD-52,5183.73,0,0.00,226,6399,EQUIPMENT,,005936
MOWER,GRAVELY,G005939,2022,991270,RED,6399,G005939-991270,ZT HD-52,5183.73,0,0.00,226,6399,EQUIPMENT,,005939
MOWER,GRAVELY,G090910,2022,991270,Red,6399,G090910-991270,ZT HD-52,4936.99,0,0.00,400,6399,EQUIPMENT,,090910
MOWER,GRAVELY,G003866,2022,991270,Red,6399,G003866-991270,ZT HD-52,4936.99,0,0.00,400,6399,EQUIPMENT,,003866
MOWER,GRAVELY,G091395,2022,991272,RED,6499,G091395-991272,ZT HD-60,5019.48,0,0.00,400,6499,EQUIPMENT,,091395
MOWER,GRAVELY,G004646,2022,991272,RED,6499,G004646-991272,ZT HD-60,5266.22,0,0.00,239,6499,EQUIPMENT,,004646
MOWER,GRAVELY,G004449,2022,991272,RED,6499,G004449-991272,ZT HD-60,5266.22,0,0.00,239,6499,EQUIPMENT,,004449
